guardian_id,student_id,first_name,last_name,dob,phone_number,province,address
228,S228,Amanda,Davidson,1983-12-21,529-503-9007,Mississippi,"56571 Lozano Expressway Apt. 269 Brianburgh, MA 85312"
229,S229,Barbara,Brown,1980-08-15,8158428818,West Virginia,"5641 Whitney Lodge Suite 034 West Kristinport, CO 36188"
230,S230,Robin,Wright,1970-12-19,(079)460-9803,Georgia,"70304 Walsh Circles Apt. 253 Theresastad, VT 65025"
231,S231,Kayla,Morris,1982-05-08,+1-416-492-9161,Iowa,USNV Parker FPO AA 84492
232,S232,Jennifer,Sanchez,1974-09-20,302.304.2794,Colorado,"690 Benjamin Wall Suite 268 Emilyland, NC 35695"
233,S233,Sharon,Williams,1981-10-12,018.355.4940,Maine,USS Parker FPO AP 75834
234,S234,Aaron,Garcia,1972-10-07,(686)518-3202,Alaska,"73646 Weiss Crescent Apt. 798 North Claudia, FL 41182"
235,S235,Robert,Rosario,1980-02-21,330-253-0898,Vermont,USNS Bush FPO AP 37703
236,S236,Wendy,Moore,1966-06-12,+1-521-573-0977,Iowa,"74474 Meza Tunnel Kevinberg, HI 17980"
237,S237,Vernon,Jenkins,1983-04-25,+1-986-749-3716,Connecticut,"1588 Derek Mission Anthonyton, AL 20462"
238,S238,Bryan,Ayala,1982-11-29,872.967.8494,Louisiana,"3410 Robert Street Allenfurt, ID 14522"
239,S239,April,Wade,1974-01-28,800-865-3344,Ohio,"646 Cooper Circles Apt. 641 North Jean, NE 64957"
240,S240,Shawn,Smith,1976-06-04,+1-536-395-3036,Maine,"444 Wilson Harbor Apt. 870 Lake Karenview, MS 63477"
241,S241,Deanna,Murray,1978-04-15,767.883.1713,Virginia,"PSC 7304, Box 0351 APO AP 47542"
242,S242,Joshua,Taylor,1977-05-10,4830385830,California,"620 Gibson Crossing Leechester, AZ 11627"
243,S243,Nicole,Wilson,1978-09-07,510.530.7208,Indiana,"9856 Kyle Green East Shane, MS 21903"
244,S244,Julie,Joseph,1969-08-11,968.007.5866,Idaho,"507 Nelson Shoals Apt. 130 Woodville, WI 98375"
245,S245,Gabrielle,Hancock,1980-08-10,805-728-9403,Tennessee,"7316 Brown Pine Suite 902 East Victoriaburgh, NC 53042"
246,S246,Manuel,Baker,1968-10-04,(539)197-2331,New Jersey,"9009 Jessica Island Apt. 848 Lopezburgh, AL 46207"
247,S247,Susan,Day,1984-02-08,1709896750,Illinois,USNS Patterson FPO AP 94661
248,S248,Brenda,Solis,1964-10-08,7659428829,New Mexico,"5733 Gonzalez Trail Beckton, WY 21611"
249,S249,Jason,Stout,1968-07-18,345-426-2365,North Dakota,"96215 Jimenez Crossroad East Meagan, MO 68201"
250,S250,Jessica,Chambers,1971-05-12,+1-486-334-0666,New York,"020 White Inlet Suite 541 North Stephen, WI 19904"
251,S251,Karen,Hale,1973-05-20,(977)481-0542,Oregon,"0325 Rodriguez Vista Dorseyville, AZ 93583"
252,S252,Patrick,Miller,1967-06-24,6429562460,Vermont,"912 Hester Grove North Sylviashire, PA 35455"
253,S253,Teresa,Thomas,1968-08-18,501.799.3168,North Carolina,"415 Paul Ridges Apt. 875 New Rebecca, WV 67721"
254,S254,Manuel,Mccoy,1978-09-20,(686)463-5989,California,"162 Leon Stream Suite 604 West Jacob, MS 65581"
255,S255,Jennifer,Mendoza,1984-11-17,955-855-8951,West Virginia,"2887 Curtis Road Suite 445 Davidmouth, RI 58832"
256,S256,David,Allen,1985-01-10,(891)470-3178,Hawaii,"69453 Stephen Square Morriston, MI 00583"
257,S257,Kristin,Kim,1974-07-22,6795498143,New Hampshire,"729 Ross Crest Apt. 528 Jasonstad, KS 39510"
258,S258,Edward,Estes,1981-12-20,101-982-3154,Nevada,"9763 Thomas Knoll Apt. 943 Kristopherhaven, VT 32731"
259,S259,Christian,Fitzpatrick,1979-03-11,(981)607-6282,Colorado,"05661 Olivia Fields East Shelby, MI 45600"
260,S260,Elizabeth,Wagner,1974-04-27,5521085887,Georgia,"17036 Bradley Canyon Jacksonville, WI 51645"
261,S261,John,Allen,1973-10-20,(820)395-0640,Nebraska,USCGC Spencer FPO AP 62638
262,S262,David,Johnson,1969-09-12,(349)253-0966,Mississippi,"789 Christine Greens Suite 015 Jonesstad, VT 63533"
263,S263,Justin,King,1982-05-23,+1-649-801-6375,South Dakota,"23444 Johnson Underpass Mendozashire, HI 20914"
264,S264,Adam,Payne,1972-12-23,3258152334,Louisiana,"37795 Trevino Hills Apt. 270 Port Aaron, FL 46442"
265,S265,Amber,Jefferson,1973-05-17,(724)216-7268,North Carolina,"PSC 8108, Box 5393 APO AA 98327"
266,S266,Marissa,Roberts,1978-09-22,949185046,Illinois,"70622 Butler Harbors Jenniferport, UT 10499"
267,S267,Jessica,Ramirez,1978-08-21,+1-171-729-0099,Massachusetts,"483 Lori Oval Apt. 842 New Brian, DE 96608"
268,S268,Wesley,Murphy,1981-07-21,3146932613,New York,"04234 Hernandez Island Suite 295 Port Justin, TX 11096"
269,S269,Cassandra,Hodges,1977-10-18,204.869.3475,Hawaii,"03962 Amanda Circles Suite 395 Julieside, ND 67302"
270,S270,Christopher,Ford,1983-09-19,+1-078-239-0772,Nebraska,"01806 Moss Locks Suite 943 Clarkstad, WI 91745"
271,S271,Matthew,Bennett,1965-03-06,026.172.0049,Maine,"979 Carroll Hollow Andersonport, WY 24601"
272,S272,Jeffrey,Brady,1984-11-15,708-190-3395,Texas,"573 Mccarthy Mountain East Diana, PA 46335"
273,S273,Cheryl,Fisher,1984-01-24,117.277.6765,Indiana,"884 Kathryn Circles South Davidfurt, ND 63100"
274,S274,Deborah,Green,1981-09-03,983-963-9049,Nevada,"9866 Allison Prairie Suite 135 North Vanessa, DC 74593"
275,S275,Paige,Sanchez,1965-09-29,152.674.5550,Alaska,"848 Rodriguez Inlet West Bethview, CT 39874"
276,S276,Jessica,Owen,1966-02-01,(562)869-4525,Delaware,Unit 1741 Box 6980 DPO AE 99868
277,S277,Calvin,Adkins,1982-07-11,947.044.6238,Louisiana,"750 Dixon Lock Apt. 419 Port Danielle, MS 99398"
278,S278,Michael,Peterson,1969-09-03,232-178-9552,Oregon,"77791 Shawna Terrace Jeffreyfurt, VT 79499"
279,S279,Catherine,Lynn,1982-12-16,+1-023-204-6138,Nevada,"70372 Hart Circle New Aprilside, VA 53898"
280,S280,Karen,Curry,1978-10-06,(722)140-0849,Kentucky,"347 Derek Summit Paulshire, WY 28321"
281,S281,Alison,Wu,1969-06-25,904-130-1401,Rhode Island,"1710 Moore Well Howardstad, NC 53910"
282,S282,Gregory,Andrews,1968-04-15,(867)683-4478,Iowa,S
283,S283,Theodore,Cochran,1972-11-30,(761)088-2698,Alabama,"052 Lam Parks Apt. 043 Richardsfort, OR 63363"
284,S284,Denise,Dickerson,1969-09-14,339-102-3315,South Carolina,"880 Bowman Park Apt. 102 Johnsonborough, FL 51298"
285,S285,Tina,Davis,1984-12-06,(634)152-5536,Kansas,"999 William Station Port William, FL 81257"
286,S286,Anthony,Castillo,1981-10-22,624.832.6919,Michigan,"64860 Hahn Neck Apt. 175 Garrettmouth, TX 45541"
287,S287,Erin,Torres,1972-11-08,510.867.4318,Arizona,"386 Miller Court Suite 868 Stephaniestad, NJ 47964"
288,S288,Terri,Kim,1973-07-17,(969)434-4761,Texas,"279 Wallace Streets Suite 276 East Robin, LA 53300"
289,S289,Kelly,Brown,1977-11-09,+1-429-400-5782,Minnesota,"49021 Angelica Brooks South Kevin, VA 21004"
290,S290,Jesse,Hensley,1984-10-09,(422)737-1741,West Virginia,"5175 Melissa Fork Apt. 580 South Margaret, AZ 44724"
291,S291,Teresa,Hardy,1971-09-23,482.504.6279,Illinois,"2722 Kim Heights Apt. 576 West Kathleenport, MD 52597"
292,S292,Emily,Spears,1983-09-11,781.776.7467,Minnesota,"32763 Johnson Ridge Suite 458 New Ronaldhaven, VA 63801"
293,S293,Annette,Moore,1973-03-17,346.638.0471,Oregon,"434 Laurie Ports Suite 578 South Rebeccaside, CT 24823"
294,S294,Jeremy,Bell,1980-12-07,302.426.6486,Michigan,"490 Robert Curve Apt. 994 Ronaldberg, WI 31674"
295,S295,James,Evans,1966-04-13,940-366-7855,Texas,"74416 Deanna Landing South Williamstad, HI 57842"
296,S296,Jamie,Gonzalez,1981-01-08,8950613351,Montana,"58144 Meredith Views Suite 071 Port Robert, NC 45574"
297,S297,Jessica,Mejia,1980-12-20,218-889-1211,Alaska,"35585 Patrick Junctions Port Kristinside, KS 62196"
298,S298,Rachael,Miller,1980-03-04,+1-508-556-6057,Pennsylvania,"491 Eric Walks Apt. 761 Port Jonathanview, KY 92066"
299,S299,Eric,Farrell,1969-08-05,425.012.0023,California,"0420 Jenna Tunnel Amyfurt, FL 14093"
300,S300,Bryan,Long,1971-03-04,4826831182,Nevada,"11010 Joshua Wells Apt. 154 Kimberlyfort, MT 02416"
